accuracy,loss,val_accuracy,val_loss
0.4888888895511627,0.6960340142250061,0.5,0.6893369555473328
0.6111111044883728,0.6677134037017822,0.625,0.6125483512878418
0.6486111283302307,0.635409414768219,0.546875,0.6476421356201172
0.6527777910232544,0.5944341421127319,0.765625,0.4859609007835388
0.7541666626930237,0.5214481949806213,0.765625,0.4565460681915283
0.7569444179534912,0.49020418524742126,0.59375,0.7232941389083862
0.7597222328186035,0.5135110020637512,0.75,0.514110267162323
0.7805555462837219,0.45178303122520447,0.78125,0.4808747470378876
0.7902777791023254,0.4389362037181854,0.8125,0.45067960023880005
0.7875000238418579,0.4276893734931946,0.84375,0.3970223665237427
0.8236111402511597,0.3755432665348053,0.796875,0.43964889645576477
0.8055555820465088,0.39547327160835266,0.890625,0.3187001645565033
0.831944465637207,0.34987345337867737,0.875,0.364188551902771
0.8388888835906982,0.3850923180580139,0.890625,0.34416496753692627
0.8416666388511658,0.354364275932312,0.890625,0.3087715208530426
0.862500011920929,0.3221331834793091,0.890625,0.28687185049057007
0.8791666626930237,0.28585565090179443,0.890625,0.37590426206588745
0.8791666626930237,0.2697860896587372,0.921875,0.19944478571414948
0.894444465637207,0.24027538299560547,0.90625,0.250703364610672
0.9041666388511658,0.22982968389987946,0.921875,0.24254357814788818
0.8930555582046509,0.22747421264648438,0.96875,0.15269675850868225
0.9222221970558167,0.18900299072265625,0.890625,0.2291496992111206
0.8819444179534912,0.28073635697364807,0.9375,0.17790153622627258
0.9305555820465088,0.1623433530330658,0.96875,0.11344508826732635
0.9513888955116272,0.137907013297081,0.984375,0.12870723009109497
0.949999988079071,0.1274792104959488,0.984375,0.11097089946269989
0.949999988079071,0.12272076308727264,0.984375,0.0952097550034523
0.9638888835906982,0.09324294328689575,0.9375,0.18346500396728516
0.9611111283302307,0.11638657003641129,0.96875,0.08002714067697525
0.9555555582046509,0.11312190443277359,0.984375,0.057810135185718536
0.9722222089767456,0.07711216807365417,0.96875,0.09004572778940201
0.9888888597488403,0.04109995812177658,0.96875,0.18430061638355255
0.9666666388511658,0.07377873361110687,0.984375,0.04803116247057915
0.9541666507720947,0.11862355470657349,0.953125,0.1404365599155426
0.9583333134651184,0.10880240052938461,0.984375,0.14446869492530823
0.9680555462837219,0.07264723628759384,0.984375,0.1456192582845688
0.9888888597488403,0.04531186819076538,0.984375,0.17204086482524872
0.9847221970558167,0.039098501205444336,0.921875,0.1967465877532959
0.9833333492279053,0.045031558722257614,0.984375,0.06721649318933487
0.9652777910232544,0.10770895332098007,0.859375,0.4756687879562378
0.9388889074325562,0.13497313857078552,0.984375,0.1302688866853714
0.9624999761581421,0.08342034369707108,0.984375,0.1622016429901123
0.9750000238418579,0.06174105033278465,0.984375,0.17091257870197296
0.9916666746139526,0.026553349569439888,0.984375,0.08644038438796997
0.9972222447395325,0.013935001567006111,0.984375,0.12910747528076172
0.9958333373069763,0.010034427046775818,0.96875,0.07403066754341125
0.9972222447395325,0.010942911729216576,0.984375,0.22433415055274963
0.9916666746139526,0.030393166467547417,0.984375,0.10247407108545303
0.9916666746139526,0.025992896407842636,0.96875,0.20328664779663086
0.9888888597488403,0.026773689314723015,0.984375,0.17879867553710938
